date,close,peg
2024-09-23,3725.78,11.96
2024-09-24,3885.17,12.47
2024-09-25,3937.37,12.62
2024-09-26,4103.82,13.09
2024-09-27,4298.56,13.54
2024-09-30,4684.89,14.64
2024-10-08,4981.3,15.4
2024-10-09,4630.94,14.33
2024-10-10,4661.03,14.54
2024-10-11,4516.47,14.16
2024-10-14,4609.55,14.45
2024-10-15,4495.57,14.07
2024-10-16,4464.92,14.01
2024-10-17,4418.55,13.86
2024-10-18,4581.32,14.28
2024-10-21,4614.35,14.32
2024-10-22,4644.92,14.4
2024-10-23,4664.25,14.45
2024-10-24,4610.74,14.31
2024-10-25,4655.91,14.39
2024-10-28,4674.82,14.42
2024-10-29,4628.61,14.29
2024-10-30,4603.98,14.18
2024-10-31,4614.79,14.17
2024-11-01,4597.45,13.85
2024-11-04,4665.2,14.01
2024-11-05,4789.76,14.34
2024-11-06,4775.62,14.28
2024-11-07,4893.31,14.64
2024-11-08,4860.88,14.52
2024-11-11,4913.93,14.58
2024-11-12,4862.39,14.42
2024-11-13,4883.98,14.5
2024-11-14,4779.67,14.27
2024-11-15,4687.89,14.06
2024-11-18,4648.17,14.03
2024-11-19,4692.88,14.1
2024-11-20,4715.84,14.15
2024-11-21,4716.76,14.14
2024-11-22,4566.55,13.73
2024-11-25,4544.75,13.67
2024-11-26,4524.87,13.65
2024-11-27,4608.38,13.86
2024-11-28,4565.13,13.75
2024-11-29,4620.27,13.88
2024-12-02,4669.07,14.01
2024-12-03,4666.91,14.04
2024-12-04,4635.88,14.0
2024-12-05,4631.03,13.96
2024-12-06,4694.33,14.14
2024-12-09,4682.52,14.14
2024-12-10,4715.94,14.23
2024-12-11,4717.18,14.22
2024-12-12,4759.41,14.36
2024-12-13,4649.95,14.05
2024-12-16,4617.17,14.1
2024-12-17,4616.95,14.12
2024-12-18,4643.69,14.19
2024-12-19,4653.51,14.17
2024-12-20,4639.21,14.11
2024-12-23,4626.14,14.16
2024-12-24,4682.22,14.33
2024-12-25,4673.14,14.37
2024-12-26,4684.84,14.38
2024-12-27,4678.68,14.36
2024-12-30,4693.23,14.42
2024-12-31,4608.94,14.22
2025-01-02,4473.66,13.82
2025-01-03,4411.04,13.66
2025-01-06,4402.91,13.64
2025-01-07,4440.99,13.71
2025-01-08,4428.28,13.69
2025-01-09,4424.24,13.63
2025-01-10,4365.54,13.47
2025-01-13,4358.2,13.43
2025-01-14,4484.09,13.76
2025-01-15,4452.02,13.67
2025-01-16,4458.96,13.71
2025-01-17,4476.98,13.74
2025-01-20,4499.54,13.77
2025-01-21,4507.06,13.77
2025-01-22,4466.66,13.63
2025-01-23,4463.97,13.68
2025-01-24,4504.01,13.82
2025-01-27,4478.66,13.82
2025-02-05,4468.24,13.72
2025-02-06,4540.92,13.9
2025-02-07,4606.19,14.06
2025-02-10,4627.01,14.1
2025-02-11,4603.14,14.07
2025-02-12,4652.67,14.2
2025-02-13,4630.56,14.16
2025-02-14,4675.97,14.28
2025-02-17,4681.52,14.23
2025-02-18,4629.25,14.13
2025-02-19,4674.28,14.21
2025-02-20,4667.88,14.19
2025-02-21,4734.86,14.32
2025-02-24,4725.35,14.28
2025-02-25,4673.99,14.11
2025-02-26,4712.62,14.21
2025-02-27,4712.33,14.24
2025-02-28,4606.36,13.98
2025-03-03,4611.58,13.98
2025-03-04,4613.8,13.95
2025-03-05,4632.25,14.02
2025-03-06,4704.58,14.19
2025-03-07,4690.56,14.16
2025-03-10,4677.52,14.11
2025-03-11,4692.04,14.15
2025-03-12,4676.3,14.1
2025-03-13,4648.53,14.06
2025-03-14,4755.15,14.35
2025-03-17,4748.1,14.35
2025-03-18,4765.55,14.37
2025-03-19,4758.89,14.38
2025-03-20,4718.18,14.27
2025-03-21,4642.74,14.07
2025-03-24,4661.75,14.14
2025-03-25,4653.25,14.15
2025-03-26,4638.73,14.11
2025-03-27,4652.07,14.16
2025-03-28,4627.14,14.08
2025-03-31,4591.71,14.02
2025-04-01,4596.44,14.02
2025-04-02,4590.67,14.01
2025-04-03,4554.25,13.94
2025-04-07,4199.09,12.98
2025-04-08,4259.31,13.22
2025-04-09,4311.84,13.32
2025-04-10,4376.28,13.47
2025-04-11,4400.64,13.52
2025-04-14,4417.52,13.58
2025-04-15,4412.31,13.61
2025-04-16,4415.38,13.66
2025-04-17,4412.42,13.65
2025-04-18,4413.14,13.66
2025-04-21,4444.33,13.7
2025-04-22,4436.51,13.72
2025-04-23,4444.97,13.72
2025-04-24,4435.18,13.74
2025-04-25,4443.17,13.73
2025-04-28,4432.14,13.71
2025-04-29,4431.63,13.69
2025-04-30,4435.81,13.65
2025-05-06,4494.63,13.4
2025-05-07,4517.5,13.51
2025-05-08,4543.64,13.56
2025-05-09,4526.24,13.54
2025-05-12,4583.19,13.67
2025-05-13,4584.7,13.7
2025-05-14,4626.07,13.84
2025-05-15,4578.18,13.74
2025-05-16,4563.02,13.67
2025-05-19,4552.41,13.63
2025-05-20,4579.38,13.69
2025-05-21,4599.67,13.76
2025-05-22,4585.83,13.73
2025-05-23,4549.89,13.62
2025-05-26,4531.73,13.56
2025-05-27,4504.86,13.5
2025-05-28,4497.62,13.49
2025-05-29,4532.18,13.55
2025-05-30,4503.46,13.5
2025-06-03,4512.07,13.52
2025-06-04,4533.83,13.56
2025-06-05,4549.54,13.6
2025-06-06,4545.1,13.6
2025-06-09,4562.77,13.62
2025-06-10,4536.05,13.57
2025-06-11,4567.49,13.66
2025-06-12,4566.6,13.65
2025-06-13,4532.8,13.57
2025-06-16,4543.99,13.62
2025-06-17,4537.18,13.62
2025-06-18,4540.41,13.64
2025-06-19,4499.82,13.55
2025-06-20,4492.54,13.54
2025-06-23,4509.89,13.6
2025-06-24,4570.19,13.67
2025-06-25,4631.27,13.81
2025-06-26,4614.44,13.74
2025-06-27,4601.77,13.64
2025-06-30,4630.45,13.7
2025-07-01,4636.79,13.74
2025-07-02,4627.66,13.72
2025-07-03,4656.91,13.76
2025-07-04,4662.51,13.81
2025-07-07,4639.96,13.76
2025-07-08,4687.58,13.86
2025-07-09,4676.05,13.85
2025-07-10,4696.44,13.93
2025-07-11,4707.08,13.92
2025-07-14,4709.78,13.95
2025-07-15,4717.89,13.95
2025-07-16,4707.35,13.91
2025-07-17,4749.74,13.97
2025-07-18,4773.24,14.05
2025-07-21,4808.62,14.14
2025-07-22,4849.17,14.24
2025-07-23,4844.33,14.25
2025-07-24,4888.72,14.32
2025-07-25,4871.12,14.25
2025-07-28,4885.77,14.27
