date,close,peg
2015-06-01,1000.0,
2019-12-31,1000.0,
2020-01-02,1019.72,
2020-01-03,1024.48,
2020-01-06,1027.28,
2020-01-07,1043.08,
2020-01-08,1051.16,
2020-01-09,1078.31,
2020-01-10,1076.44,
2020-01-13,1105.85,
2020-01-14,1118.31,
2020-01-15,1114.77,
2020-01-16,1154.3,
2020-01-17,1238.66,
2020-01-20,1240.51,
2020-01-21,1195.01,
2020-01-22,1244.52,
2020-01-23,1202.1,
2020-02-03,1030.55,
2020-02-04,1153.23,
2020-02-05,1203.61,
2020-02-06,1238.76,
2020-02-07,1307.76,
2020-02-10,1322.25,
2020-02-11,1283.57,
2020-02-12,1348.7,
2020-02-13,1360.71,
2020-02-14,1327.22,
2020-02-17,1381.55,
2020-02-18,1399.38,
2020-02-19,1373.44,
2020-02-20,1348.34,
2020-02-21,1346.86,
2020-02-24,1351.71,
2020-02-25,1367.37,
2020-02-26,1288.24,
2020-02-27,1264.94,
2020-02-28,1191.05,
2020-03-02,1252.62,
2020-03-03,1285.03,
2020-03-04,1255.72,
2020-03-05,1264.79,
2020-03-06,1243.37,
2020-03-09,1171.86,
2020-03-10,1216.33,
2020-03-11,1184.71,
2020-03-12,1167.06,
2020-03-13,1175.28,
2020-03-16,1115.08,
2020-03-17,1131.55,
2020-03-18,1115.02,
2020-03-19,1128.97,
2020-03-20,1127.37,
2020-03-23,1039.88,
2020-03-24,1060.84,
2020-03-25,1101.32,
2020-03-26,1095.34,
2020-03-27,1084.51,
2020-03-30,1035.83,
2020-03-31,1029.75,
2020-04-01,1037.93,
2020-04-02,1094.83,
2020-04-03,1080.53,
2020-04-07,1111.65,
2020-04-08,1104.14,
2020-04-09,1101.28,
2020-04-10,1058.44,
2020-04-13,1042.15,
2020-04-14,1073.22,
2020-04-15,1088.2,
2020-04-16,1091.93,
2020-04-17,1117.07,
2020-04-20,1133.36,
2020-04-21,1119.23,
2020-04-22,1135.85,
2020-04-23,1149.72,
2020-04-24,1144.15,
2020-04-27,1138.1,
2020-04-28,1113.51,
2020-04-29,1102.7,
2020-04-30,1166.35,
2020-05-06,1247.51,
2020-05-07,1224.1,
2020-05-08,1240.25,
2020-05-11,1226.06,
2020-05-12,1233.59,
2020-05-13,1247.03,
2020-05-14,1242.17,
2020-05-15,1270.48,
2020-05-18,1254.3,
2020-05-19,1324.42,
2020-05-20,1307.0,
2020-05-21,1251.93,
2020-05-22,1230.66,
2020-05-25,1212.09,
2020-05-26,1272.66,
2020-05-27,1253.27,
2020-05-28,1232.22,
2020-05-29,1246.11,
2020-06-01,1300.74,
2020-06-02,1305.64,
2020-06-03,1294.28,
2020-06-04,1299.8,
2020-06-05,1297.31,
2020-06-08,1280.05,
2020-06-09,1278.51,
2020-06-10,1269.98,
2020-06-11,1273.59,
2020-06-12,1262.29,
2020-06-15,1249.91,
2020-06-16,1289.13,
2020-06-17,1291.12,
2020-06-18,1302.37,
2020-06-19,1325.15,
2020-06-22,1371.21,
2020-06-23,1407.19,
2020-06-24,1424.28,
2020-06-29,1401.64,
2020-06-30,1447.89,
2020-07-01,1439.88,
2020-07-02,1437.05,
2020-07-03,1438.59,
2020-07-06,1538.4,93.95
2020-07-07,1572.19,95.64
2020-07-08,1599.91,97.23
2020-07-09,1666.85,101.25
2020-07-10,1654.83,100.77
2020-07-13,1721.98,105.42
2020-07-14,1701.58,104.42
2020-07-15,1612.03,99.23
2020-07-16,1469.8,90.05
2020-07-17,1443.4,88.2
2020-07-20,1459.03,88.93
2020-07-21,1490.17,91.07
2020-07-22,1497.23,91.02
2020-07-23,1494.14,90.7
2020-07-24,1389.31,84.88
2020-07-27,1374.52,83.75
2020-07-28,1400.54,85.22
2020-07-29,1476.92,89.6
2020-07-30,1472.79,89.33
2020-07-31,1512.98,91.44
2020-08-03,1622.81,97.76
2020-08-04,1566.06,94.37
2020-08-05,1588.62,96.03
2020-08-06,1573.87,95.06
2020-08-07,1526.8,91.86
2020-08-10,1535.6,92.54
2020-08-11,1491.84,89.92
2020-08-12,1458.64,87.87
2020-08-13,1468.23,88.16
2020-08-14,1484.04,88.83
2020-08-17,1496.4,89.38
2020-08-18,1512.51,90.41
2020-08-19,1472.02,88.19
2020-08-20,1442.58,86.46
2020-08-21,1447.71,87.02
2020-08-24,1450.67,87.11
2020-08-25,1427.7,85.72
2020-08-26,1383.31,83.25
2020-08-27,1417.56,85.39
2020-08-28,1413.64,85.24
2020-08-31,1423.24,86.1
2020-09-01,1426.65,81.87
2020-09-02,1422.95,81.59
2020-09-03,1402.14,80.25
2020-09-04,1390.28,79.85
2020-09-07,1356.7,77.78
2020-09-08,1344.61,77.17
2020-09-09,1298.08,74.53
2020-09-10,1280.19,73.86
2020-09-11,1312.51,75.59
2020-09-14,1348.07,78.08
2020-09-15,1364.6,79.26
2020-09-16,1349.67,78.07
2020-09-17,1383.59,79.84
2020-09-18,1403.9,81.08
2020-09-21,1397.75,80.7
2020-09-22,1390.09,80.22
2020-09-23,1423.9,81.91
2020-09-24,1394.93,80.05
2020-09-25,1364.02,78.18
2020-09-28,1338.95,76.82
2020-09-29,1389.96,79.78
2020-09-30,1418.8,81.34
2020-10-09,1465.96,84.15
2020-10-12,1490.58,85.67
2020-10-13,1497.6,85.82
2020-10-14,1488.67,85.01
2020-10-15,1453.79,83.09
2020-10-16,1438.53,82.18
2020-10-19,1412.15,80.89
2020-10-20,1426.18,81.81
2020-10-21,1396.98,79.91
2020-10-22,1376.58,78.77
2020-10-23,1336.53,76.19
2020-10-26,1356.11,77.29
2020-10-27,1385.75,78.92
2020-10-28,1406.07,80.51
2020-10-29,1412.06,81.18
2020-10-30,1393.91,80.17
2020-11-02,1400.91,74.68
2020-11-03,1449.01,77.31
2020-11-04,1458.9,77.63
2020-11-05,1475.38,78.33
2020-11-06,1441.47,76.53
2020-11-09,1485.15,78.97
2020-11-10,1441.97,76.63
2020-11-11,1395.51,74.03
2020-11-12,1413.29,75.07
2020-11-13,1436.89,76.44
2020-11-16,1446.95,76.92
2020-11-17,1430.81,76.09
2020-11-18,1419.23,75.47
2020-11-19,1435.92,76.66
2020-11-20,1430.72,76.11
2020-11-23,1418.1,75.3
2020-11-24,1412.75,75.01
2020-11-25,1388.36,73.87
2020-11-26,1385.31,73.88
2020-11-27,1387.77,74.18
2020-11-30,1385.48,74.56
2020-12-01,1404.24,75.87
2020-12-02,1408.49,76.32
2020-12-03,1410.83,76.64
2020-12-04,1404.87,76.21
2020-12-07,1406.19,76.45
