date,value,kind
2001-04-27,73.37,forward
2001-05-04,77.28,forward
2001-05-11,73.87,forward
2001-05-18,80.3,forward
2001-05-25,82.05,forward
2001-06-01,64.02,forward
2001-06-08,65.95,forward
2001-06-15,59.71,forward
2001-06-22,64.17,forward
2001-06-29,68.12,forward
2001-07-06,62.41,forward
2001-07-13,65.9,forward
2001-07-20,67.32,forward
2001-07-27,70.12,forward
2001-08-03,71.12,forward
2001-08-10,68.05,forward
2001-08-17,64.1,forward
2001-08-24,66.93,forward
2001-08-31,62.04,forward
2001-09-07,56.73,forward
2001-09-14,56.42,forward
2001-09-21,46.3,forward
2001-09-28,48.78,forward
2001-10-05,50.18,forward
2001-10-12,54.96,forward
2001-10-19,55.47,forward
2001-10-26,60.1,forward
2001-11-02,62.27,forward
2001-11-09,64.55,forward
2001-11-16,66.42,forward
2001-11-23,66.02,forward
2001-11-30,66.93,forward
2001-12-07,69.14,forward
2001-12-14,66.44,forward
2001-12-21,56.7,forward
2001-12-28,51.93,forward
2002-01-04,53.53,forward
2002-01-11,52.22,forward
2002-01-18,49.47,forward
2002-01-25,49.79,forward
2002-02-01,48.5,forward
2002-02-08,45.15,forward
2002-02-15,44.49,forward
2002-02-22,41.69,forward
2002-03-01,43.86,forward
2002-03-08,47.09,forward
2002-03-15,45.03,forward
2002-03-22,44.26,forward
2002-03-29,44.27,forward
2002-04-05,42.15,forward
2002-04-12,41.04,forward
2002-04-19,41.99,forward
2002-04-26,38.48,forward
2002-05-03,36.25,forward
2002-05-10,36.19,forward
2002-05-17,40.04,forward
2002-05-24,37.61,forward
2002-05-31,35.95,forward
2002-06-07,32.33,forward
2002-06-14,31.64,forward
2002-06-21,29.44,forward
2002-06-28,30.21,forward
2002-07-05,30.48,forward
2002-07-12,28.64,forward
2002-07-19,27.54,forward
2002-07-26,26.6,forward
2002-08-02,26.14,forward
2002-08-09,27.31,forward
2002-08-16,29.16,forward
2002-08-23,29.44,forward
2002-08-30,27.35,forward
2002-09-06,26.77,forward
2002-09-13,26.76,forward
2002-09-20,25.35,forward
2002-09-27,25.08,forward
2002-10-04,23.91,forward
2002-10-11,26.05,forward
2002-10-18,28.52,forward
2002-10-25,29.31,forward
2002-11-01,29.7,forward
2002-11-08,29.52,forward
2002-11-15,31.11,forward
2002-11-22,32.41,forward
2002-11-29,32.33,forward
2002-12-06,30.77,forward
2002-12-13,28.85,forward
2002-12-20,28.92,forward
2002-12-27,27.73,forward
2003-01-03,28.53,forward
2003-01-10,29.66,forward
2003-01-17,27.48,forward
2003-01-24,26.64,forward
2003-01-31,26.17,forward
2003-02-07,25.27,forward
2003-02-14,26.0,forward
2003-02-21,26.62,forward
2003-02-28,26.07,forward
2003-03-07,25.3,forward
2003-03-14,26.28,forward
2003-03-21,27.56,forward
2003-03-28,26.2,forward
2003-04-04,26.29,forward
2003-04-11,25.67,forward
2003-04-18,27.07,forward
2003-04-25,26.85,forward
2003-05-02,27.91,forward
2003-05-09,28.04,forward
2003-05-16,28.05,forward
2003-05-23,27.38,forward
2003-05-30,28.85,forward
2003-06-06,28.97,forward
2003-06-13,28.4,forward
2003-06-20,28.86,forward
2003-06-27,28.39,forward
2003-07-04,28.81,forward
2003-07-11,29.87,forward
2003-07-18,29.0,forward
2003-07-25,29.2,forward
2003-08-01,28.73,forward
2003-08-08,27.29,forward
2003-08-15,28.22,forward
2003-08-22,29.31,forward
2003-08-29,29.93,forward
2003-09-05,30.07,forward
2003-09-12,29.73,forward
2003-09-19,30.29,forward
2003-09-26,28.47,forward
2003-10-03,29.61,forward
2003-10-10,30.07,forward
2003-10-17,29.31,forward
2003-10-24,28.49,forward
2003-10-31,29.34,forward
2003-11-07,29.64,forward
2003-11-14,28.74,forward
2003-11-21,27.68,forward
2003-11-28,28.77,forward
2003-12-05,28.05,forward
2003-12-12,28.13,forward
2003-12-19,28.06,forward
2003-12-26,28.14,forward
2004-01-02,28.44,forward
2004-01-09,29.55,forward
2004-01-16,30.19,forward
2004-01-23,29.76,forward
2004-01-30,29.01,forward
2004-02-06,29.13,forward
2004-02-13,28.85,forward
2004-02-20,28.8,forward
2004-02-27,28.57,forward
2004-03-05,28.62,forward
2004-03-12,27.82,forward
2004-03-19,27.18,forward
2004-03-26,27.5,forward
2004-04-02,28.96,forward
2004-04-09,28.87,forward
2004-04-16,28.16,forward
2004-04-23,29.09,forward
2004-04-30,27.23,forward
2004-05-07,27.33,forward
2004-05-14,27.2,forward
2004-05-21,27.36,forward
2004-05-28,28.49,forward
2004-06-04,28.28,forward
2004-06-11,28.79,forward
2004-06-18,28.46,forward
2004-06-25,29.12,forward
2004-07-02,28.78,forward
2004-07-09,27.98,forward
2004-07-16,27.05,forward
2004-07-23,26.73,forward
2004-07-30,27.21,forward
2004-08-06,25.56,forward
2004-08-13,25.41,forward
2004-08-20,26.56,forward
2004-08-27,26.98,forward
2004-09-03,26.66,forward
2004-09-10,27.46,forward
2004-09-17,27.72,forward
2004-09-24,27.19,forward
2004-10-01,28.23,forward
2004-10-08,27.81,forward
2004-10-15,27.81,forward
2004-10-22,27.95,forward
2004-10-29,28.89,forward
2004-11-05,29.64,forward
2004-11-12,30.28,forward
2004-11-19,30.16,forward
2004-11-26,30.67,forward
2004-12-03,31.37,forward
2004-12-10,31.19,forward
2004-12-17,31.03,forward
2004-12-24,31.36,forward
2004-12-31,31.5,forward
2006-07-28,20.74,forward
2006-08-04,20.6,forward
2006-08-11,20.3,forward
2006-08-18,21.5,forward
2006-08-25,21.14,forward
2006-09-01,21.52,forward
2006-09-08,21.26,forward
2006-09-15,21.89,forward
2006-09-22,21.53,forward
2006-09-29,21.86,forward
2006-10-06,22.23,forward
2006-10-13,22.69,forward
2006-10-20,22.31,forward
2006-10-27,22.26,forward
2006-11-03,22.01,forward
2006-11-10,22.4,forward
2006-11-17,22.99,forward
2006-11-24,23.01,forward
2006-12-01,22.4,forward
2006-12-08,22.46,forward
2006-12-15,22.59,forward
2006-12-22,22.23,forward
2006-12-29,22.25,forward
2007-01-05,22.55,forward
2007-01-12,23.23,forward
2007-01-19,22.55,forward
2007-01-26,22.22,forward
2007-02-02,22.5,forward
2007-02-09,22.32,forward
2007-02-16,22.61,forward
2007-02-23,22.86,forward
2007-03-02,21.33,forward
2007-03-09,21.41,forward
2007-03-16,21.31,forward
2007-03-23,21.88,forward
2007-03-30,21.51,forward
2007-04-06,21.94,forward
2007-04-13,21.9,forward
2007-04-20,22.15,forward
2007-04-27,22.51,forward
2007-05-04,22.56,forward
2007-05-11,22.58,forward
2007-05-18,22.56,forward
2007-05-25,22.42,forward
2007-06-01,22.67,forward
2007-06-08,22.37,forward
2007-06-15,22.75,forward
2007-06-22,22.34,forward
2007-06-29,22.3,forward
2007-07-06,22.76,forward
2007-07-13,23.16,forward
2007-07-20,23.16,forward
2007-07-27,22.18,forward
2007-08-03,21.64,forward
2007-08-10,21.55,forward
2007-08-17,21.08,forward
2007-08-24,21.81,forward
2007-08-31,22.02,forward
2007-09-07,21.56,forward
2007-09-14,21.94,forward
2007-09-21,22.41,forward
2007-09-28,22.66,forward
2007-10-05,23.19,forward
2007-10-12,23.46,forward
2007-10-19,22.84,forward
2007-10-26,23.34,forward
2007-11-02,23.48,forward
2007-11-09,21.48,forward
2007-11-16,21.59,forward
2007-11-23,21.32,forward
2007-11-30,21.99,forward
2007-12-07,22.47,forward
2007-12-14,21.83,forward
2007-12-21,22.1,forward
2007-12-28,21.92,forward
2008-01-04,20.28,forward
2008-01-11,19.7,forward
2008-01-18,19.03,forward
2008-01-25,18.47,forward
2008-02-01,19.33,forward
2008-02-08,18.52,forward
2008-02-15,18.56,forward
